hazard_id,gps_speed_mean,gps_speed_min,accx_5s_mean_mean,accx_5s_min_min,grip_mean,water_layer_thickness_mean,ice_layer_thickness_mean,snow_layer_thickness_mean,black_ice_risk_mean,cluster
18628896.0,0.361843738118947,0.0,700.0,680.0,0.8071693375886205,0.04961823227714343,0.0,0.0,0.0,1
18628897.0,0.6353036325808742,0.0,700.0,680.0,0.7954736948013306,0.09282109245839643,0.0,0.0,0.0,1
18641396.0,2.9425421675676695,0.0,700.0,680.0,0.8199999928474426,0.0,0.0,0.0,0.0,1
18641397.0,2.7785723136950864,0.0,700.0,680.0,0.8168823891375439,0.009261436401361442,0.0,0.0,0.0,1
18641398.0,2.7859183074696907,0.0,700.0,680.0,0.8162563087009802,0.011245861922095462,0.0,0.0,0.0,1
18641399.0,2.5830313223130914,0.0,700.0,680.0,0.8161124296486377,0.012343866867013274,0.0,0.0,0.0,1
18641400.0,2.5926244149393423,0.0,700.0,680.0,0.8162975517057237,0.011862567725724405,0.0,0.0,0.0,1
18641401.0,2.6911653010149927,0.0,700.0,680.0,0.8161604242560304,0.01230192208593642,0.0,0.0,0.0,1
18641402.0,2.6701512210034783,0.0,700.0,680.0,0.8162529439811247,0.012005490228443976,0.0,0.0,0.0,1
18641403.0,2.7084334073165506,0.0,700.0,680.0,0.8162027052262935,0.012374361673165564,0.0,0.0,0.0,1
18641404.0,2.7241754121268174,0.0,700.0,680.0,0.8161858349311643,0.013137223338140396,0.0,0.0,0.0,1
18641405.0,2.7355023176943467,0.0,700.0,680.0,0.8161126585995279,0.01396937281313556,0.0,0.0,0.0,1
18641406.0,2.7752205819859905,0.0,700.0,680.0,0.816155654120158,0.014042307014004824,0.0,0.0,0.0,1
18641407.0,2.7856785133988042,0.0,700.0,680.0,0.816155654120158,0.014090235723766028,0.0,0.0,0.0,1
18641408.0,2.8478737972071473,0.0,700.0,680.0,0.816108771940557,0.014262067866738785,0.0,0.0,0.0,1
18641409.0,2.828606242577179,0.0,700.0,680.0,0.816108771940557,0.014262067866738785,0.0,0.0,0.0,1
18641410.0,2.8552353353928313,0.0,700.0,680.0,0.816108771940557,0.014262067866738785,0.0,0.0,0.0,1
18641411.0,2.845541720173585,0.0,700.0,680.0,0.8161442610154669,0.014370752708896624,0.0,0.0,0.0,1
18641412.0,2.9230218555110223,0.0,700.0,680.0,0.8160972398955647,0.014546005790712437,0.0,0.0,0.0,1
18641413.0,2.8980982019364245,0.0,700.0,680.0,0.8160972398955647,0.014546005790712437,0.0,0.0,0.0,1
